SPECIES_BULBASAUR : MAX(30, 50) ; MIN(41, 18)
SPECIES_DODRIO : MAX(48, 63) ; MIN(29, 0)
SPECIES_SEEL : MAX(21, 55) ; MIN(43, 9)
SPECIES_DEWGONG : MAX(41, 61) ; MIN(40, 1)
SPECIES_GRIMER : MAX(24, 54) ; MIN(41, 13)
SPECIES_MUK : MAX(7, 56) ; MIN(49, 5)
SPECIES_SHELLDER : MAX(23, 50) ; MIN(22, 18)
SPECIES_CLOYSTER : MAX(33, 60) ; MIN(54, 0)
SPECIES_GASTLY : MAX(30, 50) ; MIN(30, 9)
SPECIES_HAUNTER : MAX(2, 50) ; MIN(20, 9)
SPECIES_GENGAR : MAX(44, 56) ; MIN(47, 7)
SPECIES_ONIX : MAX(41, 60) ; MIN(6, 2)
SPECIES_DROWZEE : MAX(42, 56) ; MIN(25, 8)
SPECIES_HYPNO : MAX(14, 60) ; MIN(35, 5)
SPECIES_KRABBY : MAX(52, 49) ; MIN(8, 11)
SPECIES_KINGLER : MAX(1, 55) ; MIN(55, 10)
SPECIES_VOLTORB : MAX(29, 48) ; MIN(29, 19)
SPECIES_ELECTRODE : MAX(28, 52) ; MIN(28, 12)
SPECIES_EXEGGCUTE : MAX(39, 51) ; MIN(40, 14)
SPECIES_EXEGGUTOR : MAX(20, 63) ; MIN(35, 0)
SPECIES_CUBONE : MAX(24, 50) ; MIN(23, 14)
SPECIES_MAROWAK : MAX(46, 55) ; MIN(8, 0)
SPECIES_HITMONLEE : MAX(35, 60) ; MIN(32, 5)
SPECIES_HITMONCHAN : MAX(16, 60) ; MIN(33, 2)
SPECIES_LICKITUNG : MAX(42, 56) ; MIN(25, 10)
SPECIES_KOFFING : MAX(16, 53) ; MIN(11, 10)
SPECIES_WEEZING : MAX(20, 63) ; MIN(27, 0)
SPECIES_RHYHORN : MAX(32, 51) ; MIN(27, 13)
SPECIES_RHYDON : MAX(41, 59) ; MIN(25, 6)
SPECIES_CHANSEY : MAX(44, 54) ; MIN(30, 12)
SPECIES_TANGELA : MAX(37, 51) ; MIN(26, 13)
SPECIES_KANGASKHAN : MAX(46, 62) ; MIN(27, 3)
SPECIES_HORSEA : MAX(26, 49) ; MIN(25, 15)
SPECIES_SEADRA : MAX(27, 57) ; MIN(27, 7)
SPECIES_GOLDEEN : MAX(32, 50) ; MIN(37, 12)
SPECIES_SEAKING : MAX(48, 58) ; MIN(34, 6)
SPECIES_STARYU : MAX(43, 52) ; MIN(31, 10)
SPECIES_STARMIE : MAX(45, 57) ; MIN(31, 7)
SPECIES_MR_MIME : MAX(16, 57) ; MIN(21, 8)
SPECIES_SCYTHER : MAX(14, 62) ; MIN(30, 2)
SPECIES_JYNX : MAX(33, 54) ; MIN(27, 8)
SPECIES_ELECTABUZZ : MAX(43, 59) ; MIN(5, 0)
SPECIES_MAGMAR : MAX(19, 59) ; MIN(40, 4)
SPECIES_PINSIR : MAX(46, 58) ; MIN(35, 3)
SPECIES_TAUROS : MAX(25, 58) ; MIN(60, 3)
SPECIES_MAGIKARP : MAX(17, 59) ; MIN(24, 7)
SPECIES_GYARADOS : MAX(10, 61) ; MIN(58, 0)
SPECIES_LAPRAS : MAX(43, 61) ; MIN(14, 2)
SPECIES_DITTO : MAX(29, 48) ; MIN(27, 19)
SPECIES_EEVEE : MAX(27, 52) ; MIN(26, 10)
SPECIES_VAPOREON : MAX(18, 54) ; MIN(34, 8)
SPECIES_JOLTEON : MAX(26, 53) ; MIN(20, 9)
SPECIES_FLAREON : MAX(24, 52) ; MIN(52, 7)
SPECIES_PORYGON : MAX(36, 49) ; MIN(26, 18)
SPECIES_OMANYTE : MAX(23, 49) ; MIN(32, 16)
SPECIES_OMASTAR : MAX(17, 54) ; MIN(40, 6)
SPECIES_KABUTO : MAX(26, 47) ; MIN(29, 21)
SPECIES_KABUTOPS : MAX(46, 61) ; MIN(16, 2)
SPECIES_AERODACTYL : MAX(35, 59) ; MIN(1, 1)
SPECIES_SNORLAX : MAX(43, 62) ; MIN(36, 3)
SPECIES_ARTICUNO : MAX(23, 61) ; MIN(4, 3)
SPECIES_ZAPDOS : MAX(33, 59) ; MIN(24, 7)
SPECIES_MOLTRES : MAX(45, 62) ; MIN(32, 1)
SPECIES_DRATINI : MAX(25, 54) ; MIN(20, 10)
SPECIES_DRAGONAIR : MAX(33, 62) ; MIN(27, 2)
SPECIES_DRAGONITE : MAX(40, 63) ; MIN(19, 0)
SPECIES_MEWTWO : MAX(17, 63) ; MIN(36, 0)
SPECIES_MEW : MAX(37, 54) ; MIN(2, 8)
SPECIES_CHIKORITA : MAX(30, 53) ; MIN(34, 10)
SPECIES_BAYLEEF : MAX(30, 60) ; MIN(37, 5)
SPECIES_MEGANIUM : MAX(23, 63) ; MIN(30, 0)
SPECIES_CYNDAQUIL : MAX(33, 49) ; MIN(36, 13)
SPECIES_QUILAVA : MAX(26, 54) ; MIN(17, 11)
SPECIES_TYPHLOSION : MAX(49, 63) ; MIN(29, 0)
SPECIES_TOTODILE : MAX(39, 49) ; MIN(24, 14)
SPECIES_CROCONAW : MAX(21, 58) ; MIN(34, 4)
SPECIES_FERALIGATR : MAX(47, 62) ; MIN(23, 0)
SPECIES_SENTRET : MAX(23, 61) ; MIN(36, 1)
SPECIES_FURRET : MAX(25, 59) ; MIN(30, 6)
SPECIES_HOOTHOOT : MAX(27, 51) ; MIN(22, 12)
SPECIES_NOCTOWL : MAX(30, 61) ; MIN(24, 1)
SPECIES_LEDYBA : MAX(43, 53) ; MIN(26, 8)
SPECIES_LEDIAN : MAX(37, 57) ; MIN(27, 5)
SPECIES_SPINARAK : MAX(25, 47) ; MIN(31, 22)
SPECIES_ARIADOS : MAX(50, 56) ; MIN(24, 8)
SPECIES_CROBAT : MAX(12, 57) ; MIN(60, 4)
SPECIES_CHINCHOU : MAX(31, 51) ; MIN(18, 10)
SPECIES_LANTURN : MAX(34, 52) ; MIN(33, 8)
SPECIES_PICHU : MAX(34, 49) ; MIN(24, 13)
SPECIES_CLEFFA : MAX(24, 45) ; MIN(27, 20)
SPECIES_IGGLYBUFF : MAX(26, 46) ; MIN(31, 18)
SPECIES_TOGEPI : MAX(34, 47) ; MIN(25, 20)
SPECIES_TOGETIC : MAX(33, 55) ; MIN(30, 8)
SPECIES_NATU : MAX(28, 46) ; MIN(39, 19)
SPECIES_XATU : MAX(41, 58) ; MIN(29, 6)
SPECIES_MAREEP : MAX(29, 51) ; MIN(46, 10)
SPECIES_FLAAFFY : MAX(34, 54) ; MIN(23, 8)
SPECIES_AMPHAROS : MAX(23, 61) ; MIN(27, 1)
SPECIES_BELLOSSOM : MAX(31, 51) ; MIN(28, 15)
SPECIES_MARILL : MAX(34, 49) ; MIN(20, 16)
SPECIES_AZUMARILL : MAX(34, 57) ; MIN(37, 3)
SPECIES_SUDOWOODO : MAX(37, 56) ; MIN(29, 8)
SPECIES_POLITOED : MAX(40, 59) ; MIN(29, 4)
SPECIES_HOPPIP : MAX(30, 49) ; MIN(15, 7)
SPECIES_SKIPLOOM : MAX(30, 48) ; MIN(31, 19)
SPECIES_JUMPLUFF : MAX(48, 54) ; MIN(33, 4)
SPECIES_AIPOM : MAX(28, 62) ; MIN(31, 7)
SPECIES_SUNKERN : MAX(27, 46) ; MIN(26, 15)
SPECIES_SUNFLORA : MAX(19, 55) ; MIN(32, 9)
SPECIES_YANMA : MAX(32, 49) ; MIN(1, 16)
SPECIES_WOOPER : MAX(26, 47) ; MIN(21, 18)
SPECIES_QUAGSIRE : MAX(39, 58) ; MIN(25, 7)
SPECIES_ESPEON : MAX(24, 54) ; MIN(44, 7)
SPECIES_UMBREON : MAX(24, 54) ; MIN(24, 8)
SPECIES_MURKROW : MAX(29, 48) ; MIN(14, 13)
SPECIES_SLOWKING : MAX(36, 62) ; MIN(34, 1)
SPECIES_MISDREAVUS : MAX(30, 50) ; MIN(35, 8)
SPECIES_UNOWN : MAX(25, 48) ; MIN(31, 15)
SPECIES_WOBBUFFET : MAX(34, 58) ; MIN(8, 4)
SPECIES_GIRAFARIG : MAX(27, 63) ; MIN(14, 0)
SPECIES_PINECO : MAX(30, 51) ; MIN(31, 12)
SPECIES_FORRETRESS : MAX(31, 55) ; MIN(30, 8)
SPECIES_DUNSPARCE : MAX(19, 54) ; MIN(52, 11)
SPECIES_GLIGAR : MAX(17, 59) ; MIN(36, 4)
SPECIES_STEELIX : MAX(29, 63) ; MIN(13, 0)
SPECIES_SNUBBULL : MAX(34, 51) ; MIN(20, 13)
SPECIES_GRANBULL : MAX(47, 59) ; MIN(14, 4)
SPECIES_QWILFISH : MAX(43, 55) ; MIN(31, 12)
SPECIES_SCIZOR : MAX(12, 61) ; MIN(38, 3)
SPECIES_SHUCKLE : MAX(39, 55) ; MIN(24, 11)
SPECIES_HERACROSS : MAX(47, 62) ; MIN(22, 3)
SPECIES_SNEASEL : MAX(39, 55) ; MIN(50, 11)
SPECIES_TEDDIURSA : MAX(34, 51) ; MIN(19, 13)
SPECIES_URSARING : MAX(48, 63) ; MIN(37, 0)
SPECIES_SLUGMA : MAX(30, 51) ; MIN(26, 11)
SPECIES_MAGCARGO : MAX(24, 57) ; MIN(47, 2)
SPECIES_SWINUB : MAX(35, 45) ; MIN(28, 24)
SPECIES_PILOSWINE : MAX(18, 55) ; MIN(30, 7)
SPECIES_CORSOLA : MAX(31, 51) ; MIN(45, 12)
SPECIES_REMORAID : MAX(49, 52) ; MIN(47, 17)
SPECIES_OCTILLERY : MAX(30, 55) ; MIN(33, 11)
SPECIES_DELIBIRD : MAX(18, 56) ; MIN(20, 7)
SPECIES_MANTINE : MAX(2, 53) ; MIN(50, 7)
SPECIES_SKARMORY : MAX(49, 62) ; MIN(26, 0)
SPECIES_HOUNDOUR : MAX(35, 54) ; MIN(32, 10)
SPECIES_HOUNDOOM : MAX(22, 63) ; MIN(11, 0)
SPECIES_KINGDRA : MAX(42, 62) ; MIN(26, 0)
SPECIES_PHANPY : MAX(31, 47) ; MIN(25, 17)
SPECIES_DONPHAN : MAX(42, 54) ; MIN(32, 12)
SPECIES_PORYGON2 : MAX(28, 48) ; MIN(27, 18)
SPECIES_STANTLER : MAX(28, 63) ; MIN(15, 0)
SPECIES_SMEARGLE : MAX(43, 57) ; MIN(35, 9)
SPECIES_TYROGUE : MAX(21, 54) ; MIN(31, 9)
SPECIES_HITMONTOP : MAX(31, 56) ; MIN(16, 5)
SPECIES_SMOOCHUM : MAX(33, 50) ; MIN(27, 13)
SPECIES_ELEKID : MAX(37, 51) ; MIN(27, 12)
SPECIES_MAGBY : MAX(33, 52) ; MIN(27, 13)
SPECIES_MILTANK : MAX(34, 55) ; MIN(22, 9)
SPECIES_BLISSEY : MAX(36, 58) ; MIN(18, 5)
SPECIES_RAIKOU : MAX(11, 58) ; MIN(34, 6)
SPECIES_ENTEI : MAX(28, 61) ; MIN(17, 3)
SPECIES_SUICUNE : MAX(26, 60) ; MIN(19, 2)
SPECIES_LARVITAR : MAX(34, 53) ; MIN(32, 9)
SPECIES_PUPITAR : MAX(36, 52) ; MIN(39, 10)
SPECIES_TYRANITAR : MAX(37, 63) ; MIN(22, 0)
SPECIES_LUGIA : MAX(50, 63) ; MIN(32, 0)
SPECIES_HO_OH : MAX(16, 63) ; MIN(16, 0)
SPECIES_CELEBI : MAX(34, 51) ; MIN(33, 12)
SPECIES_TREECKO : MAX(32, 55) ; MIN(28, 11)
SPECIES_GROVYLE : MAX(38, 58) ; MIN(27, 6)
SPECIES_SCEPTILE : MAX(41, 63) ; MIN(20, 0)
SPECIES_TORCHIC : MAX(31, 51) ; MIN(38, 9)
SPECIES_COMBUSKEN : MAX(33, 60) ; MIN(35, 3)
SPECIES_BLAZIKEN : MAX(50, 63) ; MIN(29, 0)
SPECIES_MUDKIP : MAX(26, 50) ; MIN(28, 12)
SPECIES_MARSHTOMP : MAX(21, 56) ; MIN(26, 7)
SPECIES_SWAMPERT : MAX(57, 57) ; MIN(13, 7)
SPECIES_POOCHYENA : MAX(29, 52) ; MIN(17, 13)
SPECIES_MIGHTYENA : MAX(23, 60) ; MIN(8, 3)
SPECIES_ZIGZAGOON : MAX(21, 51) ; MIN(35, 17)
SPECIES_LINOONE : MAX(15, 50) ; MIN(25, 22)
SPECIES_WURMPLE : MAX(31, 51) ; MIN(28, 12)
SPECIES_SILCOON : MAX(30, 53) ; MIN(29, 11)
SPECIES_BEAUTIFLY : MAX(9, 54) ; MIN(30, 5)
SPECIES_CASCOON : MAX(32, 53) ; MIN(21, 16)
SPECIES_DUSTOX : MAX(27, 51) ; MIN(25, 9)
SPECIES_LOTAD : MAX(31, 50) ; MIN(31, 18)
SPECIES_LOMBRE : MAX(39, 53) ; MIN(23, 12)
SPECIES_LUDICOLO : MAX(32, 63) ; MIN(39, 0)
SPECIES_SEEDOT : MAX(35, 51) ; MIN(34, 14)
SPECIES_NUZLEAF : MAX(33, 56) ; MIN(38, 8)
SPECIES_SHIFTRY : MAX(33, 56) ; MIN(13, 9)
SPECIES_TAILLOW : MAX(30, 52) ; MIN(21, 17)
SPECIES_SWELLOW : MAX(27, 58) ; MIN(12, 8)
SPECIES_WINGULL : MAX(53, 52) ; MIN(6, 12)
SPECIES_PELIPPER : MAX(51, 61) ; MIN(24, 4)
SPECIES_RALTS : MAX(28, 51) ; MIN(22, 14)
SPECIES_KIRLIA : MAX(29, 57) ; MIN(39, 8)
SPECIES_GARDEVOIR : MAX(14, 63) ; MIN(20, 0)
SPECIES_SURSKIT : MAX(36, 55) ; MIN(35, 14)
SPECIES_MASQUERAIN : MAX(42, 59) ; MIN(8, 2)
SPECIES_SHROOMISH : MAX(26, 49) ; MIN(32, 17)
SPECIES_BRELOOM : MAX(36, 60) ; MIN(22, 3)
SPECIES_SLAKOTH : MAX(21, 48) ; MIN(16, 20)
SPECIES_VIGOROTH : MAX(47, 56) ; MIN(27, 7)
SPECIES_SLAKING : MAX(13, 56) ; MIN(50, 7)
SPECIES_NINCADA : MAX(23, 47) ; MIN(25, 21)
SPECIES_NINJASK : MAX(37, 52) ; MIN(7, 8)
SPECIES_SHEDINJA : MAX(28, 53) ; MIN(18, 10)
SPECIES_WHISMUR : MAX(26, 50) ; MIN(21, 13)
SPECIES_LOUDRED : MAX(41, 60) ; MIN(41, 3)
SPECIES_EXPLOUD : MAX(40, 63) ; MIN(21, 0)
SPECIES_MAKUHITA : MAX(39, 55) ; MIN(25, 9)
SPECIES_HARIYAMA : MAX(40, 63) ; MIN(10, 0)
SPECIES_AZURILL : MAX(25, 52) ; MIN(21, 14)
SPECIES_NOSEPASS : MAX(30, 53) ; MIN(35, 12)
SPECIES_SKITTY : MAX(29, 51) ; MIN(49, 12)
SPECIES_DELCATTY : MAX(25, 59) ; MIN(15, 5)
SPECIES_SABLEYE : MAX(39, 53) ; MIN(19, 11)
SPECIES_MAWILE : MAX(8, 55) ; MIN(26, 9)
SPECIES_ARON : MAX(35, 49) ; MIN(27, 19)
SPECIES_LAIRON : MAX(31, 55) ; MIN(27, 11)
SPECIES_AGGRON : MAX(46, 63) ; MIN(5, 0)
SPECIES_MEDITITE : MAX(28, 53) ; MIN(31, 12)
SPECIES_MEDICHAM : MAX(32, 63) ; MIN(30, 1)
SPECIES_ELECTRIKE : MAX(33, 49) ; MIN(48, 18)
SPECIES_MANECTRIC : MAX(26, 61) ; MIN(22, 1)
SPECIES_PLUSLE : MAX(31, 52) ; MIN(39, 10)
SPECIES_MINUN : MAX(27, 52) ; MIN(24, 10)
SPECIES_VOLBEAT : MAX(39, 55) ; MIN(32, 6)
SPECIES_ILLUMISE : MAX(20, 53) ; MIN(39, 9)
SPECIES_ROSELIA : MAX(33, 52) ; MIN(33, 11)
SPECIES_GULPIN : MAX(27, 48) ; MIN(40, 11)
SPECIES_SWALOT : MAX(27, 58) ; MIN(26, 6)
SPECIES_CARVANHA : MAX(30, 57) ; MIN(21, 7)
SPECIES_SHARPEDO : MAX(34, 63) ; MIN(35, 0)
SPECIES_WAILMER : MAX(27, 53) ; MIN(26, 14)
SPECIES_WAILORD : MAX(19, 59) ; MIN(60, 4)
SPECIES_NUMEL : MAX(31, 54) ; MIN(20, 12)
SPECIES_CAMERUPT : MAX(30, 57) ; MIN(26, 4)
SPECIES_TORKOAL : MAX(30, 60) ; MIN(29, 2)
SPECIES_SPOINK : MAX(31, 54) ; MIN(32, 9)
SPECIES_GRUMPIG : MAX(38, 61) ; MIN(20, 3)
SPECIES_SPINDA : MAX(32, 62) ; MIN(20, 14)
SPECIES_TRAPINCH : MAX(39, 51) ; MIN(25, 15)
SPECIES_VIBRAVA : MAX(28, 53) ; MIN(28, 10)
SPECIES_FLYGON : MAX(37, 62) ; MIN(30, 2)
SPECIES_CACNEA : MAX(38, 50) ; MIN(30, 16)
SPECIES_CACTURNE : MAX(36, 63) ; MIN(30, 0)
SPECIES_SWABLU : MAX(24, 49) ; MIN(21, 17)
SPECIES_ALTARIA : MAX(49, 62) ; MIN(47, 0)
SPECIES_ZANGOOSE : MAX(39, 58) ; MIN(24, 4)
SPECIES_SEVIPER : MAX(12, 57) ; MIN(10, 7)
SPECIES_LUNATONE : MAX(26, 54) ; MIN(26, 9)
SPECIES_SOLROCK : MAX(27, 63) ; MIN(36, 0)
SPECIES_BARBOACH : MAX(38, 48) ; MIN(13, 22)
SPECIES_WHISCASH : MAX(31, 54) ; MIN(21, 11)
SPECIES_CORPHISH : MAX(37, 55) ; MIN(26, 12)
SPECIES_CRAWDAUNT : MAX(48, 59) ; MIN(23, 2)
SPECIES_BALTOY : MAX(29, 49) ; MIN(29, 13)
SPECIES_CLAYDOL : MAX(37, 60) ; MIN(32, 2)
SPECIES_LILEEP : MAX(36, 56) ; MIN(19, 8)
SPECIES_CRADILY : MAX(41, 63) ; MIN(19, 0)
SPECIES_ANORITH : MAX(32, 56) ; MIN(33, 9)
SPECIES_ARMALDO : MAX(36, 61) ; MIN(32, 3)
SPECIES_FEEBAS : MAX(34, 53) ; MIN(25, 10)
SPECIES_MILOTIC : MAX(26, 61) ; MIN(5, 1)
SPECIES_CASTFORM/NORMAL : MAX(31, 46) ; MIN(34, 16)
SPECIES_KECLEON : MAX(27, 58) ; MIN(31, 7)
SPECIES_SHUPPET : MAX(33, 50) ; MIN(22, 12)
SPECIES_BANETTE : MAX(26, 56) ; MIN(29, 6)
SPECIES_DUSKULL : MAX(31, 51) ; MIN(30, 11)
SPECIES_DUSCLOPS : MAX(35, 60) ; MIN(36, 3)
SPECIES_TROPIUS : MAX(22, 63) ; MIN(6, 0)
SPECIES_CHIMECHO : MAX(36, 52) ; MIN(32, 11)
SPECIES_ABSOL : MAX(40, 61) ; MIN(19, 4)
SPECIES_WYNAUT : MAX(31, 51) ; MIN(24, 12)
SPECIES_SNORUNT : MAX(25, 51) ; MIN(30, 13)
SPECIES_GLALIE : MAX(27, 55) ; MIN(54, 6)
SPECIES_SPHEAL : MAX(33, 52) ; MIN(22, 19)
SPECIES_SEALEO : MAX(42, 53) ; MIN(20, 10)
SPECIES_WALREIN : MAX(40, 62) ; MIN(15, 2)
SPECIES_CLAMPERL : MAX(26, 52) ; MIN(26, 12)
SPECIES_HUNTAIL : MAX(21, 60) ; MIN(52, 2)
SPECIES_GOREBYSS : MAX(3, 57) ; MIN(47, 4)
SPECIES_RELICANTH : MAX(23, 53) ; MIN(38, 6)
SPECIES_LUVDISC : MAX(30, 49) ; MIN(28, 16)
SPECIES_BAGON : MAX(39, 54) ; MIN(25, 10)
SPECIES_SHELGON : MAX(34, 54) ; MIN(34, 10)
SPECIES_SALAMENCE : MAX(42, 60) ; MIN(39, 2)
SPECIES_BELDUM : MAX(42, 48) ; MIN(20, 17)
SPECIES_METANG : MAX(49, 54) ; MIN(42, 11)
SPECIES_METAGROSS : MAX(54, 54) ; MIN(13, 11)
SPECIES_REGIROCK : MAX(36, 60) ; MIN(44, 1)
SPECIES_REGICE : MAX(38, 61) ; MIN(18, 5)
SPECIES_REGISTEEL : MAX(41, 58) ; MIN(28, 6)
SPECIES_LATIAS : MAX(30, 55) ; MIN(13, 8)
SPECIES_LATIOS : MAX(29, 63) ; MIN(16, 0)
SPECIES_KYOGRE : MAX(50, 63) ; MIN(7, 0)
SPECIES_GROUDON : MAX(42, 63) ; MIN(10, 1)
SPECIES_RAYQUAZA : MAX(43, 63) ; MIN(37, 0)
SPECIES_JIRACHI : MAX(34, 50) ; MIN(32, 11)
SPECIES_DEOXYS : MAX(38, 63) ; MIN(30, 0)
SPECIES_TURTWIG : MAX(33, 52) ; MIN(21, 11)
SPECIES_GROTLE : MAX(29, 56) ; MIN(39, 6)
SPECIES_TORTERRA : MAX(39, 63) ; MIN(45, 0)
SPECIES_CHIMCHAR : MAX(39, 53) ; MIN(31, 9)
SPECIES_MONFERNO : MAX(28, 55) ; MIN(50, 6)
SPECIES_INFERNAPE : MAX(44, 62) ; MIN(12, 3)
SPECIES_PIPLUP : MAX(34, 49) ; MIN(28, 15)
SPECIES_PRINPLUP : MAX(19, 56) ; MIN(25, 5)
SPECIES_EMPOLEON : MAX(43, 63) ; MIN(36, 0)
SPECIES_STARLY : MAX(31, 51) ; MIN(29, 13)
SPECIES_STARAVIA : MAX(39, 55) ; MIN(27, 8)
SPECIES_STARAPTOR : MAX(42, 60) ; MIN(23, 3)
SPECIES_BIDOOF : MAX(32, 51) ; MIN(40, 17)
SPECIES_BIBAREL : MAX(33, 55) ; MIN(21, 8)
SPECIES_KRICKETOT : MAX(30, 52) ; MIN(34, 13)
SPECIES_KRICKETUNE : MAX(35, 56) ; MIN(29, 5)
SPECIES_SHINX : MAX(29, 50) ; MIN(24, 19)
SPECIES_LUXIO : MAX(30, 53) ; MIN(46, 9)
SPECIES_LUXRAY : MAX(30, 61) ; MIN(47, 4)
SPECIES_BUDEW : MAX(26, 49) ; MIN(31, 15)
SPECIES_ROSERADE : MAX(34, 56) ; MIN(30, 6)
SPECIES_CRANIDOS : MAX(32, 53) ; MIN(13, 11)
